body_type,brand,clothing_type,shoulder_width,bust,waist,hip,size
Triangle,Marks & Spencers,Oversized T-Shirt,35.9,84.1,84.1,98.9,S
Hourglass,Forever 21,Oversized Pants,49.5,85.5,64.1,81.2,M
Triangle,VeroModa,Oversized Shirt,39.6,84.6,84.6,99.6,L
Hourglass,Mango,Regular Fit Shirt,37.1,100.3,75.2,95.3,M
Triangle,Calvin Klein,Slim Fit Jeans,35.7,93.3,93.3,109.8,L
Pear,Only,Oversized T-Shirt,49.2,82.1,65.7,96.6,XS
Triangle,H&M,Regular Fit Jeans,38.5,81.1,81.1,95.4,XS
Triangle,Only,Slim Fit Jeans,37.6,98.5,98.5,115.8,XL
Apple,Forever 21,Oversized Shirt,42.8,99.4,99.4,99.4,L
Rectangle,Forever 21,Slim Fit T-Shirt,46.6,99.4,99.4,99.4,XL
Rectangle,Forever 21,Oversized Pants,39.9,80.9,80.9,80.9,L
Hourglass,H&M,Oversized T-Shirt,44.1,109.1,81.8,103.7,S
Hourglass,Mango,Regular Fit Shirt,46.6,109.7,82.3,104.2,XS
Triangle,Marks & Spencers,Oversized Pants,45.7,85.0,85.0,100.0,M
Pear,SaasFaras,Oversized Jeans,44.8,100.4,80.3,118.2,XL
Triangle,Only,Slim Fit Pants,36.0,87.8,87.8,103.3,L
Hourglass,Calvin Klein,Slim Fit Jeans,40.7,99.0,74.3,94.1,M
Pear,SaasFaras,Oversized T-Shirt,38.8,85.8,68.6,100.9,S
Pear,Mango,Regular Fit Jeans,38.0,90.1,72.1,106.0,S
Apple,Forever 21,Regular Fit T-Shirt,41.2,97.5,97.5,97.5,XL
Pear,Forever 21,Regular Fit Pants,48.2,95.5,76.4,112.4,M
Rectangle,Mango,Oversized T-Shirt,37.8,96.1,96.1,96.1,L
Pear,Only,Slim Fit Jeans,36.7,87.5,70.0,103.0,XS
Apple,Mango,Regular Fit T-Shirt,35.1,115.8,115.8,115.8,XL
Pear,Mango,Oversized T-Shirt,40.1,83.3,66.6,98.0,XS
Pear,VeroModa,Oversized Pants,36.0,89.3,71.5,105.1,XS
Rectangle,Forever 21,Slim Fit Jeans,37.2,94.2,94.2,94.2,S
Apple,SaasFaras,Oversized Shirt,35.5,102.3,102.3,102.3,S
